Date,Close
31/12/2021,336.320007
03/01/2022,334.75
04/01/2022,329.01001
05/01/2022,316.380005
06/01/2022,313.880005
07/01/2022,314.040009
10/01/2022,314.269989
11/01/2022,314.980011
12/01/2022,318.269989
13/01/2022,304.799988
14/01/2022,310.200012
18/01/2022,302.649994
19/01/2022,303.329987
20/01/2022,301.600006
21/01/2022,296.029999
24/01/2022,296.369995
25/01/2022,288.48999
26/01/2022,296.709991
27/01/2022,299.839996
28/01/2022,308.26001
31/01/2022,310.980011
01/02/2022,308.76001
02/02/2022,313.459991
03/02/2022,301.25
04/02/2022,305.940002
07/02/2022,300.950012
08/02/2022,304.559998
09/02/2022,311.209991
10/02/2022,302.380005
11/02/2022,295.040009
14/02/2022,295
15/02/2022,300.470001
16/02/2022,299.5
17/02/2022,290.730011
18/02/2022,287.929993
22/02/2022,287.720001
23/02/2022,280.269989
24/02/2022,294.589996
25/02/2022,297.309998
28/02/2022,298.790009
01/03/2022,294.950012
02/03/2022,300.190002
03/03/2022,295.920013
04/03/2022,289.859985
07/03/2022,278.910004
08/03/2022,275.850006
09/03/2022,288.5
10/03/2022,285.589996
11/03/2022,280.070007
14/03/2022,276.440002
15/03/2022,287.149994
16/03/2022,294.390015
17/03/2022,295.220001
18/03/2022,300.429993
21/03/2022,299.160004
22/03/2022,304.059998
23/03/2022,299.48999
24/03/2022,304.100006
25/03/2022,303.679993
28/03/2022,310.700012
29/03/2022,315.410004
30/03/2022,313.859985
31/03/2022,308.309998
01/04/2022,309.420013
04/04/2022,314.970001
05/04/2022,310.880005
06/04/2022,299.5
07/04/2022,301.369995
08/04/2022,296.970001
11/04/2022,285.26001
12/04/2022,282.059998
13/04/2022,287.619995
14/04/2022,279.829987
18/04/2022,280.519989
19/04/2022,285.299988
20/04/2022,286.359985
21/04/2022,280.809998
22/04/2022,274.029999
25/04/2022,280.720001
26/04/2022,270.220001
27/04/2022,283.220001
28/04/2022,289.630005
29/04/2022,277.519989
02/05/2022,284.470001
03/05/2022,281.779999
04/05/2022,289.980011
05/05/2022,277.350006
06/05/2022,274.730011
09/05/2022,264.579987
10/05/2022,269.5
11/05/2022,260.549988
12/05/2022,255.350006
13/05/2022,261.119995
16/05/2022,261.5
17/05/2022,266.820007
18/05/2022,254.080002
19/05/2022,253.139999
20/05/2022,252.559998
23/05/2022,260.649994
24/05/2022,259.619995
25/05/2022,262.519989
26/05/2022,265.899994
27/05/2022,273.23999
31/05/2022,271.869995
01/06/2022,272.420013
02/06/2022,274.579987
03/06/2022,270.019989
06/06/2022,268.75
07/06/2022,272.5
08/06/2022,270.410004
09/06/2022,264.790009
10/06/2022,252.990005
13/06/2022,242.259995
14/06/2022,244.490005
15/06/2022,251.759995
16/06/2022,244.970001
17/06/2022,247.649994
21/06/2022,253.740005
22/06/2022,253.130005
23/06/2022,258.859985
24/06/2022,267.700012
27/06/2022,264.890015
28/06/2022,256.480011
29/06/2022,260.26001
30/06/2022,256.829987
01/07/2022,259.579987
05/07/2022,262.850006
06/07/2022,266.209991
07/07/2022,268.399994
08/07/2022,267.660004
11/07/2022,264.51001
12/07/2022,253.669998
13/07/2022,252.720001
14/07/2022,254.080002
15/07/2022,256.720001
18/07/2022,254.25
19/07/2022,259.529999
20/07/2022,262.269989
21/07/2022,264.839996
22/07/2022,260.359985
25/07/2022,258.829987
26/07/2022,251.899994
27/07/2022,268.73999
28/07/2022,276.410004
29/07/2022,280.73999
01/08/2022,278.01001
02/08/2022,274.820007
03/08/2022,282.470001
04/08/2022,283.649994
05/08/2022,282.910004
08/08/2022,280.320007
09/08/2022,282.299988
10/08/2022,289.160004
11/08/2022,287.019989
12/08/2022,291.910004
15/08/2022,293.470001
16/08/2022,292.709991
17/08/2022,291.320007
18/08/2022,290.170013
19/08/2022,286.149994
22/08/2022,277.75
23/08/2022,276.440002
24/08/2022,275.790009
25/08/2022,278.850006
26/08/2022,268.089996
29/08/2022,265.230011
30/08/2022,262.970001
31/08/2022,261.470001
01/09/2022,260.399994
02/09/2022,256.059998
06/09/2022,253.25
07/09/2022,258.089996
08/09/2022,258.519989
09/09/2022,264.459991
12/09/2022,266.649994
13/09/2022,251.990005
14/09/2022,252.220001
15/09/2022,245.380005
16/09/2022,244.740005
19/09/2022,244.520004
20/09/2022,242.449997
21/09/2022,238.949997
22/09/2022,240.979996
23/09/2022,237.919998
26/09/2022,237.449997
27/09/2022,236.410004
28/09/2022,241.070007
29/09/2022,237.5
30/09/2022,232.899994
03/10/2022,240.740005
04/10/2022,248.880005
05/10/2022,249.199997
06/10/2022,246.789993
07/10/2022,234.240005
10/10/2022,229.25
11/10/2022,225.410004
12/10/2022,225.75
13/10/2022,234.240005
14/10/2022,228.559998
17/10/2022,237.529999
18/10/2022,238.5
19/10/2022,236.479996
20/10/2022,236.149994
21/10/2022,242.119995
24/10/2022,247.25
25/10/2022,250.660004
26/10/2022,231.320007
27/10/2022,226.75
28/10/2022,235.869995
31/10/2022,232.130005
01/11/2022,228.169998
02/11/2022,220.100006
03/11/2022,214.25
04/11/2022,221.389999
07/11/2022,227.869995
08/11/2022,228.869995
09/11/2022,224.509995
10/11/2022,242.979996
11/11/2022,247.110001
14/11/2022,241.550003
15/11/2022,241.970001
16/11/2022,241.729996
17/11/2022,241.679993
18/11/2022,241.220001
21/11/2022,242.050003
22/11/2022,245.029999
23/11/2022,247.580002
25/11/2022,247.490005
28/11/2022,241.759995
29/11/2022,240.330002
30/11/2022,255.139999
01/12/2022,254.690002
02/12/2022,255.020004
05/12/2022,250.199997
06/12/2022,245.119995
07/12/2022,244.369995
08/12/2022,247.399994
09/12/2022,245.419998
12/12/2022,252.509995
13/12/2022,256.920013
14/12/2022,257.220001
15/12/2022,249.009995
16/12/2022,244.690002
19/12/2022,240.449997
20/12/2022,241.800003
21/12/2022,244.429993
22/12/2022,238.190002
23/12/2022,238.729996
27/12/2022,236.960007
28/12/2022,234.529999
29/12/2022,241.009995
30/12/2022,239.820007